,train,val,test
0,482815,482842,482917
1,482816,482843,483572
2,482818,482844,482928
3,483123,482845,484180
4,482609,482828,483930
5,482807,482829,491924
6,482808,482830,488078
7,482809,482831,483685
8,482810,482832,487024
9,482683,482837,530661
10,482685,482838,482901
11,482686,482840,487924
12,483405,482841,487275
13,482822,483122,482617
14,482823,483710,482739
15,482824,483711,538845
16,482825,483713,538834
17,482826,483714,491611
18,482827,483715,539612
19,482772,483716,494815
20,482773,483717,
21,482774,483718,
22,482811,483719,
23,482812,484199,
24,482813,487919,
25,482814,487920,
26,482819,487921,
27,482820,487922,
28,482821,487923,
29,482604,487928,
30,482605,482704,
31,482607,482705,
32,483820,482695,
33,484233,482696,
34,491675,482697,
35,484222,484240,
36,484223,484241,
37,484224,484242,
38,484225,484243,
39,484254,484244,
40,484611,484733,
41,482638,483926,
42,482639,483928,
43,482641,482791,
44,483810,482792,
45,482635,482793,
46,482636,482794,
47,482637,483922,
48,482672,483924,
49,482673,483925,
50,483399,483938,
51,482854,483939,
52,482855,483944,
53,483114,483945,
54,483115,483946,
55,482782,483947,
56,482861,491519,
57,482680,491520,
58,482681,487437,
59,482682,487438,
60,482612,487439,
61,482613,487440,
62,482614,491367,
63,482615,491372,
64,483361,491373,
65,483364,491448,
66,491250,491449,
67,491251,491450,
68,491252,491451,
69,491253,487742,
70,491254,487743,
71,482620,487744,
72,482621,487745,
73,482622,487746,
74,482623,487747,
75,482624,487748,
76,482625,480332,
77,482626,480333,
78,482627,480334,
79,482628,480335,
80,483813,480336,
81,482642,480337,
82,482643,480338,
83,482644,486997,
84,482645,486998,
85,482646,487000,
86,482647,487001,
87,482648,487002,
88,482649,487003,
89,482659,487005,
90,482660,487487,
91,483488,487737,
92,483489,487738,
93,483490,487739,
94,483491,487740,
95,483492,480443,
96,483672,480444,
97,483673,480445,
98,483674,480446,
99,483675,480447,
100,483676,480429,
101,483677,480430,
102,483678,480431,
103,483679,480432,
104,482756,483616,
105,482757,483556,
106,482758,483557,
107,482759,483558,
108,482760,484173,
109,482761,484176,
110,482762,484177,
111,482763,484306,
112,482764,484307,
113,484902,484865,
114,484907,484219,
115,483963,487414,
116,483966,533242,
117,482745,533243,
118,482746,533244,
119,483720,533245,
120,483721,533246,
121,483722,533247,
122,483723,533248,
123,483724,533249,
124,483725,518121,
125,482723,518122,
126,482724,530721,
127,482725,530722,
128,482726,530723,
129,482727,530724,
130,482728,530725,
131,482729,516405,
132,482730,516406,
133,482737,516407,
134,482738,516408,
135,487853,516409,
136,487854,516410,
137,487855,535130,
138,483708,535132,
