,train,val,test
482804,True,False,False
482805,True,False,False
482806,True,False,False
482608,True,False,False
482609,True,False,False
482807,True,False,False
482808,True,False,False
482809,True,False,False
482810,True,False,False
484232,True,False,False
484253,True,False,False
491220,True,False,False
482772,True,False,False
482773,True,False,False
482774,True,False,False
482811,True,False,False
482812,True,False,False
482813,True,False,False
482814,True,False,False
482819,True,False,False
482820,True,False,False
482821,True,False,False
482604,True,False,False
482605,True,False,False
482607,True,False,False
483820,True,False,False
484222,True,False,False
484223,True,False,False
484224,True,False,False
484225,True,False,False
484254,True,False,False
484611,True,False,False
482846,True,False,False
482847,True,False,False
482848,True,False,False
482849,True,False,False
482674,True,False,False
482675,True,False,False
482676,True,False,False
482677,True,False,False
482678,True,False,False
483406,True,False,False
482663,True,False,False
482664,True,False,False
482665,True,False,False
482666,True,False,False
483800,True,False,False
482635,True,False,False
482636,True,False,False
482637,True,False,False
482672,True,False,False
482673,True,False,False
483399,True,False,False
482842,True,False,False
482843,True,False,False
482844,True,False,False
482845,True,False,False
482854,True,False,False
482855,True,False,False
483114,True,False,False
483115,True,False,False
482782,True,False,False
482861,True,False,False
482680,True,False,False
482681,True,False,False
482682,True,False,False
482612,True,False,False
482613,True,False,False
482614,True,False,False
482615,True,False,False
482901,True,False,False
482902,True,False,False
482903,True,False,False
491241,True,False,False
491242,True,False,False
491243,True,False,False
482620,True,False,False
482621,True,False,False
482622,True,False,False
482623,True,False,False
482624,True,False,False
482625,True,False,False
482626,True,False,False
482627,True,False,False
482628,True,False,False
483813,True,False,False
482617,True,False,False
482618,True,False,False
483831,True,False,False
483836,True,False,False
487810,True,False,False
487813,True,False,False
487814,True,False,False
483726,True,False,False
483727,True,False,False
483728,True,False,False
483729,True,False,False
483731,True,False,False
484203,True,False,False
483493,True,False,False
483494,True,False,False
483672,True,False,False
483673,True,False,False
483674,True,False,False
483675,True,False,False
483676,True,False,False
483677,True,False,False
483678,True,False,False
483679,True,False,False
483660,True,False,False
483661,True,False,False
483662,True,False,False
483663,True,False,False
483666,True,False,False
484189,True,False,False
487895,True,False,False
487894,True,False,False
487893,True,False,False
487892,True,False,False
487891,True,False,False
487890,True,False,False
487889,True,False,False
487888,True,False,False
482745,True,False,False
482746,True,False,False
487919,True,False,False
487920,True,False,False
487921,True,False,False
487922,True,False,False
487923,True,False,False
482592,True,False,False
482593,True,False,False
482594,True,False,False
483723,True,False,False
483724,True,False,False
483725,True,False,False
487928,True,False,False
482739,True,False,False
482740,True,False,False
482743,True,False,False
482744,True,False,False
483385,True,False,False
483391,True,False,False
491662,True,False,False
491663,True,False,False
491664,True,False,False
491665,True,False,False
491666,True,False,False
491667,True,False,False
491668,True,False,False
491669,True,False,False
491670,True,False,False
491671,True,False,False
491672,True,False,False
491673,True,False,False
491674,True,False,False
487840,True,False,False
487841,True,False,False
491938,True,False,False
487853,True,False,False
487854,True,False,False
487855,True,False,False
483708,True,False,False
487831,True,False,False
487836,True,False,False
487837,True,False,False
487838,True,False,False
488076,True,False,False
484248,True,False,False
484249,True,False,False
482695,True,False,False
482696,True,False,False
482697,True,False,False
483682,True,False,False
483683,True,False,False
483684,True,False,False
487856,True,False,False
487857,True,False,False
487858,True,False,False
487859,True,False,False
483969,True,False,False
483970,True,False,False
483971,True,False,False
483976,True,False,False
483986,True,False,False
483991,True,False,False
483998,True,False,False
484908,True,False,False
484910,True,False,False
484911,True,False,False
483926,True,False,False
483928,True,False,False
491592,True,False,False
491593,True,False,False
491594,True,False,False
483938,True,False,False
483939,True,False,False
482775,True,False,False
482776,True,False,False
482777,True,False,False
482778,True,False,False
482779,True,False,False
482780,True,False,False
482781,True,False,False
482601,True,False,False
482602,True,False,False
491519,True,False,False
491520,True,False,False
491503,True,False,False
491504,True,False,False
491505,True,False,False
491513,True,False,False
491514,True,False,False
491515,True,False,False
491516,True,False,False
491517,True,False,False
491518,True,False,False
491611,True,False,False
491616,True,False,False
491617,True,False,False
480274,True,False,False
480326,True,False,False
483779,True,False,False
483923,True,False,False
487521,True,False,False
487526,True,False,False
487784,True,False,False
487785,True,False,False
487786,True,False,False
487787,True,False,False
486948,True,False,False
486949,True,False,False
486950,True,False,False
486951,True,False,False
486952,True,False,False
486953,True,False,False
486954,True,False,False
486955,True,False,False
487811,True,False,False
482948,True,False,False
482949,True,False,False
482950,True,False,False
491943,True,False,False
487760,True,False,False
487146,True,False,False
487154,True,False,False
487168,True,False,False
487177,True,False,False
487183,True,False,False
487189,True,False,False
487204,True,False,False
487383,True,False,False
487384,True,False,False
487402,True,False,False
488300,True,False,False
486920,True,False,False
486919,True,False,False
486921,True,False,False
486922,True,False,False
487821,True,False,False
487404,True,False,False
487405,True,False,False
487406,True,False,False
487437,True,False,False
487438,True,False,False
487439,True,False,False
487440,True,False,False
487409,True,False,False
487411,True,False,False
487433,True,False,False
487434,True,False,False
487435,True,False,False
487436,True,False,False
487697,True,False,False
487716,True,False,False
487730,True,False,False
488244,True,False,False
491436,True,False,False
491437,True,False,False
491438,True,False,False
487732,True,False,False
487733,True,False,False
487734,True,False,False
487735,True,False,False
487736,True,False,False
487395,True,False,False
487396,True,False,False
487398,True,False,False
488298,True,False,False
487079,True,False,False
487088,True,False,False
487106,True,False,False
487385,True,False,False
487429,True,False,False
487430,True,False,False
487431,True,False,False
487432,True,False,False
484165,True,False,False
484166,True,False,False
484167,True,False,False
484169,True,False,False
487446,True,False,False
487448,True,False,False
487449,True,False,False
487112,True,False,False
487119,True,False,False
487125,True,False,False
487130,True,False,False
487137,True,False,False
484260,True,False,False
484261,True,False,False
484262,True,False,False
484263,True,False,False
480164,True,False,False
480169,True,False,False
480173,True,False,False
480177,True,False,False
480180,True,False,False
480332,True,False,False
480333,True,False,False
480334,True,False,False
480335,True,False,False
480336,True,False,False
480337,True,False,False
480338,True,False,False
480312,True,False,False
480316,True,False,False
480320,True,False,False
480323,True,False,False
480324,True,False,False
480325,True,False,False
487426,True,False,False
487427,True,False,False
491457,True,False,False
491458,True,False,False
491459,True,False,False
491754,True,False,False
482971,True,False,False
482972,True,False,False
482973,True,False,False
482974,True,False,False
491345,True,False,False
491351,True,False,False
480368,True,False,False
480369,True,False,False
480370,True,False,False
480374,True,False,False
480379,True,False,False
480386,True,False,False
480398,True,False,False
491452,True,False,False
480400,True,False,False
480401,True,False,False
480402,True,False,False
480403,True,False,False
480404,True,False,False
480405,True,False,False
480406,True,False,False
480407,True,False,False
480408,True,False,False
480357,True,False,False
480358,True,False,False
480359,True,False,False
480360,True,False,False
480361,True,False,False
480363,True,False,False
480364,True,False,False
481143,True,False,False
487794,True,False,False
487797,True,False,False
