,train,val,test
0,482610,482807.0,482608.0
1,482611,482808.0,482609.0
2,482804,482809.0,484232.0
3,482805,482810.0,484253.0
4,482806,482819.0,491220.0
5,482815,482820.0,482604.0
6,482816,482821.0,482605.0
7,482818,482663.0,482607.0
8,483123,482664.0,483820.0
9,482822,482665.0,484222.0
10,482823,482666.0,484223.0
11,482824,483800.0,484224.0
12,482825,482854.0,484225.0
13,482826,482855.0,484254.0
14,482827,483114.0,484611.0
15,482772,483115.0,482674.0
16,482773,482782.0,482675.0
17,482774,482861.0,482676.0
18,482811,482612.0,482677.0
19,482812,482613.0,482678.0
20,482813,482614.0,483406.0
21,482814,482615.0,482635.0
22,482846,482901.0,482636.0
23,482847,482902.0,482637.0
24,482848,482903.0,482672.0
25,482849,491241.0,482673.0
26,482638,491242.0,483399.0
27,482639,491243.0,482842.0
28,482641,482624.0,482843.0
29,483810,482625.0,482844.0
30,482767,482626.0,482845.0
31,482768,482627.0,482680.0
32,482769,482628.0,482681.0
33,482770,483813.0,482682.0
34,482771,483726.0,483493.0
35,482828,483727.0,483494.0
36,482829,483728.0,487895.0
37,482830,483729.0,487894.0
38,482831,483731.0,487893.0
39,482832,484203.0,487892.0
40,482833,483672.0,487891.0
41,482834,483673.0,487890.0
42,482835,483674.0,487889.0
43,483113,483675.0,487888.0
44,482837,483676.0,482745.0
45,482838,483677.0,482746.0
46,482840,483678.0,487928.0
47,482841,483679.0,482739.0
48,483122,483660.0,482740.0
49,483361,483661.0,482743.0
50,483364,483662.0,482744.0
51,491250,483663.0,483385.0
52,491251,483666.0,483391.0
53,491252,484189.0,487853.0
54,491253,487919.0,487854.0
55,491254,487920.0,487855.0
56,482620,487921.0,483708.0
57,482621,487922.0,484248.0
58,482622,487923.0,484249.0
59,482623,491662.0,487856.0
60,482617,491663.0,487857.0
61,482618,491664.0,487858.0
62,483831,491665.0,487859.0
63,483836,487831.0,491592.0
64,482642,487836.0,491593.0
65,482643,487837.0,491594.0
66,482644,487838.0,482775.0
67,482645,488076.0,482776.0
68,482646,483682.0,482777.0
69,482647,483683.0,482778.0
70,482648,483684.0,482779.0
71,482649,483938.0,482780.0
72,487815,483939.0,482781.0
73,487818,491503.0,482601.0
74,487820,491504.0,482602.0
75,487822,491505.0,491519.0
76,487909,480274.0,491520.0
77,487908,480326.0,491611.0
78,487907,483779.0,491616.0
79,487810,483923.0,491617.0
80,487813,487521.0,487784.0
81,487814,487526.0,487785.0
82,483488,482948.0,487786.0
83,483489,482949.0,487787.0
84,483490,482950.0,486948.0
85,483491,486920.0,486949.0
86,483492,486919.0,486950.0
87,482756,486921.0,486951.0
88,482757,486922.0,486952.0
89,482758,487821.0,486953.0
90,482759,487437.0,486954.0
91,482760,487438.0,486955.0
92,482761,487439.0,487811.0
93,482762,487440.0,491943.0
94,482763,487732.0,487760.0
95,482764,487733.0,487146.0
96,484902,487734.0,487154.0
97,484907,487735.0,487168.0
98,483963,487736.0,487177.0
99,483966,487395.0,487183.0
100,484153,487396.0,487189.0
101,484154,487398.0,487204.0
102,484155,488298.0,487383.0
103,484156,487079.0,487384.0
104,484157,487088.0,487402.0
105,484158,487106.0,488300.0
106,484159,487385.0,487404.0
107,484160,484165.0,487405.0
108,483710,484166.0,487406.0
109,483711,484167.0,487697.0
110,483713,484169.0,487716.0
111,483714,484260.0,487730.0
112,483715,484261.0,488244.0
113,483716,484262.0,491436.0
114,483717,484263.0,491437.0
115,483718,480164.0,491438.0
116,483719,480169.0,487429.0
117,484199,480173.0,487430.0
118,482687,480177.0,487431.0
119,482688,480180.0,487432.0
120,483720,491457.0,480332.0
121,483721,491458.0,480333.0
122,483722,491459.0,480334.0
123,482592,491754.0,480335.0
124,482593,482971.0,480336.0
125,482594,482972.0,480337.0
126,487848,482973.0,480338.0
127,487849,482974.0,480312.0
128,483723,491345.0,480316.0
129,483724,491351.0,480320.0
130,483725,487794.0,480323.0
131,487924,487797.0,480324.0
132,487925,491306.0,480325.0
133,487926,491313.0,487426.0
134,491666,491319.0,487427.0
135,491667,491332.0,480368.0
136,491668,491891.0,480369.0
137,491669,486978.0,480370.0
138,491670,486979.0,480374.0
139,491671,487775.0,480379.0
140,491672,487776.0,480386.0
141,491673,487791.0,480398.0
142,491674,487792.0,491452.0
143,487840,487777.0,480400.0
144,487841,487778.0,480401.0
145,491938,487779.0,480402.0
146,484072,487780.0,480403.0
147,484077,487782.0,480404.0
148,484083,487783.0,480405.0
149,484087,488249.0,480406.0
150,484092,487754.0,480407.0
151,484097,487755.0,480408.0
152,482750,487756.0,491881.0
153,482751,487757.0,491882.0
154,488082,484282.0,487485.0
155,487882,484283.0,487486.0
