,train,val,test
0,482815,482842.0,482610.0
1,482816,482843.0,482611.0
2,482818,482844.0,482804.0
3,483123,482845.0,482805.0
4,482609,482828.0,482806.0
5,482807,482829.0,482674.0
6,482808,482830.0,482675.0
7,482809,482831.0,482676.0
8,482810,482832.0,482677.0
9,482683,482837.0,482678.0
10,482685,482838.0,483406.0
11,482686,482840.0,482767.0
12,483405,482841.0,482768.0
13,482822,483122.0,482769.0
14,482823,483710.0,482770.0
15,482824,483711.0,482771.0
16,482825,483713.0,482857.0
17,482826,483714.0,482858.0
18,482827,483715.0,482859.0
19,482772,483716.0,482860.0
20,482773,483717.0,482833.0
21,482774,483718.0,482834.0
22,482811,483719.0,482835.0
23,482812,484199.0,483113.0
24,482813,487919.0,487815.0
25,482814,487920.0,487818.0
26,482819,487921.0,487820.0
27,482820,487922.0,487822.0
28,482821,487923.0,487909.0
29,482604,487928.0,487908.0
30,482605,482704.0,487907.0
31,482607,482705.0,483660.0
32,483820,482695.0,483661.0
33,484233,482696.0,483662.0
34,491675,482697.0,483663.0
35,484222,484240.0,483666.0
36,484223,484241.0,484189.0
37,484224,484242.0,484153.0
38,484225,484243.0,484154.0
39,484254,484244.0,484155.0
40,484611,484733.0,484156.0
41,482638,483926.0,484157.0
42,482639,483928.0,484158.0
43,482641,482791.0,484159.0
44,483810,482792.0,484160.0
45,482635,482793.0,487848.0
46,482636,482794.0,487849.0
47,482637,483922.0,487840.0
48,482672,483924.0,487841.0
49,482673,483925.0,484072.0
50,483399,483938.0,484077.0
51,482854,483939.0,484083.0
52,482855,483944.0,484087.0
53,483114,483945.0,484092.0
54,483115,483946.0,484097.0
55,482782,483947.0,483680.0
56,482861,491519.0,483681.0
57,482680,491520.0,487910.0
58,482681,487437.0,487911.0
59,482682,487438.0,487912.0
60,482612,487439.0,487913.0
61,482613,487440.0,487915.0
62,482614,491367.0,487916.0
63,482615,491372.0,487917.0
64,483361,491373.0,483969.0
65,483364,491448.0,483970.0
66,491250,491449.0,483971.0
67,491251,491450.0,483976.0
68,491252,491451.0,483986.0
69,491253,487742.0,483991.0
70,491254,487743.0,483998.0
71,482620,487744.0,484908.0
72,482621,487745.0,484910.0
73,482622,487746.0,484911.0
74,482623,487747.0,491521.0
75,482624,487748.0,491522.0
76,482625,480332.0,491530.0
77,482626,480333.0,491503.0
78,482627,480334.0,491504.0
79,482628,480335.0,491505.0
80,483813,480336.0,487079.0
81,482642,480337.0,487088.0
82,482643,480338.0,487106.0
83,482644,486997.0,487385.0
84,482645,486998.0,480357.0
85,482646,487000.0,480358.0
86,482647,487001.0,480359.0
87,482648,487002.0,480360.0
88,482649,487003.0,480361.0
89,482659,487005.0,480363.0
90,482660,487487.0,480364.0
91,483488,487737.0,481143.0
92,483489,487738.0,486983.0
93,483490,487739.0,486985.0
94,483491,487740.0,487497.0
95,483492,480443.0,487515.0
96,483672,480444.0,487485.0
97,483673,480445.0,487486.0
98,483674,480446.0,487488.0
99,483675,480447.0,487494.0
100,483676,480429.0,487501.0
101,483677,480430.0,487573.0
102,483678,480431.0,487580.0
103,483679,480432.0,487775.0
104,482756,483616.0,487776.0
105,482757,483556.0,487791.0
106,482758,483557.0,487792.0
107,482759,483558.0,487788.0
108,482760,484173.0,487789.0
109,482761,484176.0,487790.0
110,482762,484177.0,487754.0
111,482763,484306.0,487755.0
112,482764,484307.0,487756.0
113,484902,484865.0,487757.0
114,484907,484219.0,480221.0
115,483963,487414.0,480226.0
116,483966,533242.0,482959.0
117,482745,533243.0,482960.0
118,482746,533244.0,482961.0
119,483720,533245.0,482962.0
120,483721,533246.0,482963.0
121,483722,533247.0,482964.0
122,483723,533248.0,491849.0
123,483724,533249.0,491859.0
124,483725,518121.0,491863.0
125,482723,518122.0,491867.0
126,482724,530721.0,491871.0
127,482725,530722.0,491877.0
128,482726,530723.0,483789.0
129,482727,530724.0,483790.0
130,482728,530725.0,483548.0
131,482729,516405.0,483549.0
132,482730,516406.0,483551.0
133,482737,516407.0,484370.0
134,482738,516408.0,483509.0
135,487853,516409.0,483510.0
136,487854,516410.0,483511.0
137,487855,535130.0,483533.0
138,483708,535132.0,483534.0
139,488082,535134.0,483535.0
140,487882,535136.0,483536.0
141,487880,535138.0,491933.0
142,487879,535110.0,491934.0
143,487878,535113.0,491803.0
144,487877,535115.0,491806.0
145,487876,535117.0,483497.0
146,487856,535120.0,483501.0
147,487857,535123.0,483499.0
148,487858,535126.0,483578.0
149,487859,535128.0,483579.0
150,483688,540456.0,483580.0
151,483689,540458.0,483650.0
152,483948,540459.0,483651.0
153,483949,539670.0,483652.0
154,483950,539676.0,483653.0
155,483951,539686.0,487807.0
156,483952,539814.0,487808.0
157,483953,538861.0,496274.0
158,483940,538862.0,496275.0
159,483941,538863.0,496276.0
160,483942,538864.0,496280.0
161,483943,538865.0,496283.0
162,482783,538853.0,530666.0
163,482784,538854.0,530667.0
164,482785,538855.0,530668.0
165,482786,538856.0,530669.0
166,482787,538857.0,530670.0
167,482788,538858.0,530672.0
168,491592,538859.0,530673.0
169,491593,507575.0,530674.0
170,491594,507578.0,539618.0
171,482597,507580.0,539619.0
172,482598,484149.0,494920.0
173,482599,484150.0,494853.0
174,482600,484151.0,494854.0
175,482775,,494855.0
176,482776,,494856.0
177,482777,,494857.0
178,482778,,494858.0
179,482779,,494859.0
180,482780,,494860.0
181,482781,,488168.0
182,491506,,488159.0
183,491507,,487904.0
184,491508,,487903.0
185,491509,,487902.0
186,491510,,487900.0
187,491511,,487899.0
188,491512,,
189,491653,,
190,491654,,
191,491655,,
192,491656,,
193,491657,,
194,487441,,
195,487442,,
196,487443,,
197,487444,,
198,487402,,
199,488300,,
200,487433,,
201,487434,,
202,487435,,
203,487436,,
204,491436,,
205,491437,,
206,491438,,
207,487732,,
208,487733,,
209,487734,,
210,487735,,
211,487736,,
212,487395,,
213,487396,,
214,487398,,
215,488298,,
216,487429,,
217,487430,,
218,487431,,
219,487432,,
220,487112,,
221,487119,,
222,487125,,
223,487130,,
224,487137,,
225,484260,,
226,484261,,
227,484262,,
228,484263,,
229,480312,,
230,480316,,
231,480320,,
232,480323,,
233,480324,,
234,480325,,
235,487426,,
236,487427,,
237,491457,,
238,491458,,
239,491459,,
240,491754,,
241,491440,,
242,491441,,
243,491442,,
244,491443,,
245,491939,,
246,480329,,
247,480330,,
248,480331,,
249,491939,,
250,482943,,
251,482944,,
252,482945,,
253,482946,,
254,480279,,
255,480284,,
256,480288,,
257,480294,,
258,480298,,
259,480303,,
260,480307,,
261,482966,,
262,482967,,
263,491940,,
264,482879,,
265,482880,,
266,482881,,
267,491306,,
268,491313,,
269,491319,,
270,491332,,
271,486925,,
272,486927,,
273,486929,,
274,486931,,
275,486932,,
276,486933,,
277,486934,,
278,486935,,
279,486936,,
280,486975,,
281,486976,,
282,486977,,
283,483769,,
284,483771,,
285,483772,,
286,483920,,
287,483784,,
288,483785,,
289,483786,,
290,483927,,
291,487282,,
292,487283,,
293,487284,,
294,487285,,
295,487286,,
296,487288,,
297,487467,,
298,487472,,
299,482868,,
300,482869,,
301,482870,,
302,482871,,
303,482872,,
304,482873,,
305,483359,,
306,487817,,
307,483751,,
308,483752,,
309,483753,,
310,483754,,
311,483755,,
312,483756,,
313,492258,,
314,480120,,
315,480124,,
316,480130,,
317,480135,,
318,492258,,
319,481118,,
320,481121,,
321,481128,,
322,481465,,
323,480151,,
324,480156,,
325,480159,,
326,491792,,
327,487420,,
328,487421,,
329,487422,,
330,487423,,
331,487424,,
332,491807,,
333,491902,,
334,491903,,
335,491904,,
336,491905,,
337,491906,,
338,492256,,
339,491472,,
340,491473,,
341,491474,,
342,491475,,
343,491476,,
344,491477,,
345,491478,,
346,491479,,
347,491480,,
348,484266,,
349,487267,,
350,487268,,
351,487269,,
352,487766,,
353,487767,,
354,486969,,
355,486970,,
356,486971,,
357,486972,,
358,486973,,
359,486974,,
360,482899,,
361,482900,,
362,483373,,
363,482925,,
364,482926,,
365,482927,,
366,484286,,
367,484287,,
368,482937,,
369,482920,,
370,482921,,
371,482913,,
372,482914,,
373,482915,,
374,482916,,
375,483379,,
376,491935,,
377,483606,,
378,483607,,
379,483608,,
380,483812,,
381,483814,,
382,483817,,
383,483601,,
384,483885,,
385,483878,,
386,483933,,
387,483635,,
388,483636,,
389,483637,,
390,483638,,
391,483527,,
392,483528,,
393,483529,,
394,483530,,
395,483531,,
396,483532,,
397,491489,,
398,491490,,
399,491492,,
400,491494,,
401,491496,,
402,484188,,
403,484591,,
404,491931,,
405,491932,,
406,484202,,
407,484204,,
408,484291,,
409,484292,,
410,484853,,
411,484227,,
412,484228,,
413,484229,,
414,484230,,
415,484231,,
416,484328,,
417,496262,,
418,496263,,
419,497830,,
420,496307,,
421,496289,,
422,496290,,
423,496292,,
424,496296,,
425,496298,,
426,496268,,
427,496269,,
428,496270,,
429,496271,,
430,496272,,
431,503186,,
432,503188,,
433,503191,,
434,503193,,
435,503195,,
436,496203,,
437,496204,,
438,496205,,
439,496206,,
440,514770,,
441,514772,,
442,514774,,
443,514776,,
444,514778,,
445,514913,,
446,516419,,
447,516420,,
448,516422,,
449,516424,,
450,518111,,
451,518112,,
452,518113,,
