,train,val,test
482610,True,False,False
482611,True,False,False
482804,True,False,False
482805,True,False,False
482806,True,False,False
482608,True,False,False
482609,True,False,False
482807,True,False,False
482808,True,False,False
482809,True,False,False
482810,True,False,False
482822,True,False,False
482823,True,False,False
482824,True,False,False
482825,True,False,False
482826,True,False,False
482827,True,False,False
482772,True,False,False
482773,True,False,False
482774,True,False,False
482811,True,False,False
482812,True,False,False
482813,True,False,False
482814,True,False,False
482604,True,False,False
482605,True,False,False
482607,True,False,False
483820,True,False,False
484222,True,False,False
484223,True,False,False
484224,True,False,False
484225,True,False,False
484254,True,False,False
484611,True,False,False
482674,True,False,False
482675,True,False,False
482676,True,False,False
482677,True,False,False
482678,True,False,False
483406,True,False,False
482638,True,False,False
482639,True,False,False
482641,True,False,False
483810,True,False,False
482635,True,False,False
482636,True,False,False
482637,True,False,False
482672,True,False,False
482673,True,False,False
483399,True,False,False
482767,True,False,False
482768,True,False,False
482769,True,False,False
482770,True,False,False
482771,True,False,False
482842,True,False,False
482843,True,False,False
482844,True,False,False
482845,True,False,False
482782,True,False,False
482861,True,False,False
482680,True,False,False
482681,True,False,False
482682,True,False,False
482612,True,False,False
482613,True,False,False
482614,True,False,False
482615,True,False,False
482901,True,False,False
482902,True,False,False
482903,True,False,False
491241,True,False,False
491242,True,False,False
491243,True,False,False
482828,True,False,False
482829,True,False,False
482830,True,False,False
482831,True,False,False
482832,True,False,False
482837,True,False,False
482838,True,False,False
482840,True,False,False
482841,True,False,False
483122,True,False,False
483361,True,False,False
483364,True,False,False
491250,True,False,False
491251,True,False,False
491252,True,False,False
491253,True,False,False
491254,True,False,False
482642,True,False,False
482643,True,False,False
482644,True,False,False
482645,True,False,False
482646,True,False,False
482647,True,False,False
482648,True,False,False
482649,True,False,False
483672,True,False,False
483673,True,False,False
483674,True,False,False
483675,True,False,False
483676,True,False,False
483677,True,False,False
483678,True,False,False
483679,True,False,False
484153,True,False,False
484154,True,False,False
484155,True,False,False
484156,True,False,False
484157,True,False,False
484158,True,False,False
484159,True,False,False
484160,True,False,False
483710,True,False,False
483711,True,False,False
483713,True,False,False
483714,True,False,False
483715,True,False,False
483716,True,False,False
483717,True,False,False
483718,True,False,False
483719,True,False,False
484199,True,False,False
483720,True,False,False
483721,True,False,False
483722,True,False,False
487848,True,False,False
487849,True,False,False
487924,True,False,False
487925,True,False,False
487926,True,False,False
482739,True,False,False
482740,True,False,False
482743,True,False,False
482744,True,False,False
483385,True,False,False
483391,True,False,False
484072,True,False,False
484077,True,False,False
484083,True,False,False
484087,True,False,False
484092,True,False,False
484097,True,False,False
487853,True,False,False
487854,True,False,False
487855,True,False,False
483708,True,False,False
488082,True,False,False
487882,True,False,False
487880,True,False,False
487879,True,False,False
487878,True,False,False
487877,True,False,False
487876,True,False,False
482695,True,False,False
482696,True,False,False
482697,True,False,False
487856,True,False,False
487857,True,False,False
487858,True,False,False
487859,True,False,False
483680,True,False,False
483681,True,False,False
484240,True,False,False
484241,True,False,False
484242,True,False,False
484243,True,False,False
484244,True,False,False
484733,True,False,False
483948,True,False,False
483949,True,False,False
483950,True,False,False
483951,True,False,False
483952,True,False,False
483953,True,False,False
483969,True,False,False
483970,True,False,False
483971,True,False,False
483976,True,False,False
483986,True,False,False
483991,True,False,False
483998,True,False,False
484908,True,False,False
484910,True,False,False
484911,True,False,False
482783,True,False,False
482784,True,False,False
482785,True,False,False
482786,True,False,False
482787,True,False,False
482788,True,False,False
491554,True,False,False
491567,True,False,False
491575,True,False,False
491588,True,False,False
491590,True,False,False
491591,True,False,False
483922,True,False,False
483924,True,False,False
