,train,val,test
482815,True,False,False
482816,True,False,False
482818,True,False,False
483123,True,False,False
482609,True,False,False
482807,True,False,False
482808,True,False,False
482809,True,False,False
482810,True,False,False
482683,True,False,False
482685,True,False,False
482686,True,False,False
483405,True,False,False
482822,True,False,False
482823,True,False,False
482824,True,False,False
482825,True,False,False
482826,True,False,False
482827,True,False,False
482772,True,False,False
482773,True,False,False
482774,True,False,False
482811,True,False,False
482812,True,False,False
482813,True,False,False
482814,True,False,False
482819,True,False,False
482820,True,False,False
482821,True,False,False
482604,True,False,False
482605,True,False,False
482607,True,False,False
483820,True,False,False
484233,True,False,False
491675,True,False,False
484222,True,False,False
484223,True,False,False
484224,True,False,False
484225,True,False,False
484254,True,False,False
484611,True,False,False
482638,True,False,False
482639,True,False,False
482641,True,False,False
483810,True,False,False
482635,True,False,False
482636,True,False,False
482637,True,False,False
482672,True,False,False
482673,True,False,False
483399,True,False,False
482854,True,False,False
482855,True,False,False
483114,True,False,False
483115,True,False,False
482782,True,False,False
482861,True,False,False
482680,True,False,False
482681,True,False,False
482682,True,False,False
482612,True,False,False
482613,True,False,False
482614,True,False,False
482615,True,False,False
483361,True,False,False
483364,True,False,False
491250,True,False,False
491251,True,False,False
491252,True,False,False
491253,True,False,False
491254,True,False,False
482620,True,False,False
482621,True,False,False
482622,True,False,False
482623,True,False,False
482624,True,False,False
482625,True,False,False
482626,True,False,False
482627,True,False,False
482628,True,False,False
483813,True,False,False
482642,True,False,False
482643,True,False,False
482644,True,False,False
482645,True,False,False
482646,True,False,False
482647,True,False,False
482648,True,False,False
482649,True,False,False
482659,True,False,False
482660,True,False,False
483488,True,False,False
483489,True,False,False
483490,True,False,False
483491,True,False,False
483492,True,False,False
483672,True,False,False
483673,True,False,False
483674,True,False,False
483675,True,False,False
483676,True,False,False
483677,True,False,False
483678,True,False,False
483679,True,False,False
482756,True,False,False
482757,True,False,False
482758,True,False,False
482759,True,False,False
482760,True,False,False
482761,True,False,False
482762,True,False,False
482763,True,False,False
482764,True,False,False
484902,True,False,False
484907,True,False,False
483963,True,False,False
483966,True,False,False
482745,True,False,False
482746,True,False,False
483720,True,False,False
483721,True,False,False
483722,True,False,False
483723,True,False,False
483724,True,False,False
483725,True,False,False
482723,True,False,False
482724,True,False,False
482725,True,False,False
482726,True,False,False
482727,True,False,False
482728,True,False,False
482729,True,False,False
482730,True,False,False
482737,True,False,False
482738,True,False,False
487853,True,False,False
487854,True,False,False
487855,True,False,False
483708,True,False,False
488082,True,False,False
487882,True,False,False
487880,True,False,False
487879,True,False,False
487878,True,False,False
487877,True,False,False
487876,True,False,False
487856,True,False,False
487857,True,False,False
487858,True,False,False
487859,True,False,False
483688,True,False,False
483689,True,False,False
483948,True,False,False
483949,True,False,False
483950,True,False,False
483951,True,False,False
483952,True,False,False
483953,True,False,False
483940,True,False,False
483941,True,False,False
