,train,val,test
0,482610,482804.0,482819.0
1,482611,482805.0,482820.0
2,482609,482806.0,482821.0
3,482807,482815.0,484222.0
4,482808,482816.0,484223.0
5,482809,482818.0,484224.0
6,482810,483123.0,484225.0
7,484232,482683.0,484254.0
8,484253,482685.0,484611.0
9,491220,482686.0,482663.0
10,482822,483405.0,482664.0
11,482823,484233.0,482665.0
12,482824,491675.0,482666.0
13,482825,482635.0,483800.0
14,482826,482636.0,482828.0
15,482827,482637.0,482829.0
16,482772,482672.0,482830.0
17,482773,482673.0,482831.0
18,482774,483399.0,482832.0
19,482811,482857.0,482837.0
20,482812,482858.0,482838.0
21,482813,482859.0,482840.0
22,482814,482860.0,482841.0
23,482604,482680.0,483122.0
24,482605,482681.0,483361.0
25,482607,482682.0,483364.0
26,483820,482833.0,491250.0
27,482674,482834.0,491251.0
28,482675,482835.0,491252.0
29,482676,483113.0,491253.0
30,482677,482659.0,491254.0
31,482678,482660.0,482624.0
32,483406,487815.0,482625.0
33,482638,487818.0,482626.0
34,482639,487820.0,482627.0
35,482641,487822.0,482628.0
36,483810,487909.0,483813.0
37,482767,487908.0,483726.0
38,482768,487907.0,483727.0
39,482769,483488.0,483728.0
40,482770,483489.0,483729.0
41,482771,483490.0,483731.0
42,482842,483491.0,484203.0
43,482843,483492.0,483672.0
44,482844,483493.0,483673.0
45,482845,483494.0,483674.0
46,482854,487895.0,483675.0
47,482855,487894.0,483676.0
48,483114,487893.0,483677.0
49,483115,487892.0,483678.0
50,482782,487891.0,483679.0
51,482861,487890.0,484153.0
52,482612,487889.0,484154.0
53,482613,487888.0,484155.0
54,482614,482745.0,484156.0
55,482615,482746.0,484157.0
56,482620,487848.0,484158.0
57,482621,487849.0,484159.0
58,482622,487928.0,484160.0
59,482623,487840.0,483723.0
60,482642,487841.0,483724.0
61,482643,482704.0,483725.0
62,482644,482705.0,487831.0
63,482645,488082.0,487836.0
64,482646,487882.0,487837.0
65,482647,487880.0,487838.0
66,482648,487879.0,488076.0
67,482649,487878.0,484248.0
68,487810,487877.0,484249.0
69,487813,487876.0,482717.0
70,487814,487856.0,482718.0
71,487937,487857.0,482719.0
72,487950,487858.0,483948.0
73,487951,487859.0,483949.0
74,483660,487910.0,483950.0
75,483661,487911.0,483951.0
76,483662,487912.0,483952.0
77,483663,487913.0,483953.0
78,483666,487915.0,482783.0
79,484189,487916.0,482784.0
80,482756,487917.0,482785.0
81,482757,491506.0,482786.0
82,482758,491507.0,482787.0
83,482759,491508.0,482788.0
84,482760,491509.0,482775.0
85,482761,491510.0,482776.0
86,482762,491511.0,482777.0
87,482763,491512.0,482778.0
88,482764,483779.0,482779.0
89,484902,483923.0,482780.0
90,484907,487521.0,482781.0
91,483963,487526.0,480274.0
92,483966,492233.0,480326.0
93,483710,482951.0,487784.0
94,483711,482952.0,487785.0
95,483713,482953.0,487786.0
96,483714,482954.0,487787.0
97,483715,482955.0,487416.0
98,483716,482957.0,487418.0
99,483717,482958.0,487419.0
100,483718,483111.0,488304.0
101,483719,486948.0,487409.0
102,484199,486949.0,487411.0
103,482687,486950.0,487433.0
104,482688,486951.0,487434.0
105,487919,486952.0,487435.0
106,487920,486953.0,487436.0
107,487921,486954.0,491810.0
108,487922,486955.0,491814.0
109,487923,487811.0,491816.0
110,483720,491943.0,491306.0
111,483721,487760.0,491313.0
112,483722,487437.0,491319.0
113,482592,487438.0,491332.0
114,482593,487439.0,486983.0
115,482594,487440.0,486985.0
116,482723,491448.0,487497.0
117,482724,491449.0,487515.0
118,482725,491450.0,491891.0
119,482726,491451.0,486975.0
120,482727,487079.0,486976.0
121,482728,487088.0,486977.0
122,482729,487106.0,487775.0
123,482730,487385.0,487776.0
124,482737,480332.0,487791.0
125,482738,480333.0,487792.0
126,491666,480334.0,482868.0
127,491667,480335.0,482869.0
128,491668,480336.0,482870.0
129,491669,480337.0,482871.0
130,491670,480338.0,482872.0
131,491671,491345.0,482873.0
132,491672,491351.0,483359.0
133,491673,491452.0,480151.0
134,491674,480279.0,480156.0
135,491938,480284.0,480159.0
136,484072,480288.0,487754.0
137,484077,480294.0,487755.0
138,484083,480298.0,487756.0
139,484087,480303.0,487757.0
140,484092,480307.0,487267.0
141,484097,482966.0,487268.0
142,487853,482967.0,487269.0
143,487854,486997.0,487766.0
144,487855,486998.0,487767.0
145,483708,487000.0,482937.0
146,482750,487001.0,480462.0
147,482751,487002.0,481516.0
148,483777,487003.0,480425.0
149,484255,487005.0,480426.0
150,484256,487487.0,480427.0
