,train,val,test
0,482610,482609,4_OOU63_MC_1000037
1,482611,482772,5_OOU84_MC_1000034
2,482804,482773,6_OOU88_EC-SC_1000029
3,482805,482774,7_OOU169_EC-SC_1000033
4,482806,482811,8_OOU170_EC-SC_
5,482815,482812,9_OOU185_EC-SC_
6,482816,482813,10_OOU198_EC-SC
7,482818,482814,11_OOU217_EC-SC
8,483123,482782,12_OOU282_CC_1000022
9,482807,482861,13_OOU306_EC-SC
10,482808,482620,14_OOU324_EC-SC
11,482809,482621,15_OOU325_SC-CC_1000023
12,482810,482622,16_OOU470_MC_1000050
13,482819,482623,17_OOU495_SC_1000019
14,482820,482642,18_OOU508_EC_1000038
15,482821,482643,19_OOU516_SC-CC_1000044
16,482604,482644,20_OOU518_EC_1000045
17,482605,482645,21_OOU522_SC-CC_1000031
18,482607,482646,22_OOU525_EC_1000017
19,483820,482647,23_OOU528_EC_1000018
20,482674,482648,24_OOU529_MC_1000048
21,482675,482649,25_OOU531_SC_1000020
22,482676,482659,26_OOU532_SC_1000021
23,482677,482660,27_OOU533_CC_1000053
24,482678,482745,28_OOU536_SC_1000052
25,483406,482746,29_OOU537_CC_rescan
26,482638,483720,30_OOU538_SC_1000051
27,482639,483721,31_OOU326_EC-SC_1000027
28,482641,483722,32_OOU396_SC-CC_1000036
29,483810,488082,33_OOU411_SC-CC_rescan
30,482767,487882,34_OOU480_EC_1000046
31,482768,487880,35_OOU494_CC_1000047
32,482769,487879,36_VOA351_LGSC
33,482770,487878,37_VOA440_LGSC
34,482771,487877,38_VOA495_LGSC
35,482857,487876,39_VOA617_LGSC
36,482858,487856,40_VOA729_LGSC
37,482859,487857,1_OOU6_EC-SC_1000042
38,482860,487858,2_OOU25_MC_1000054
39,482842,487859,3_OOU58_CC_1000049
40,482843,483940,3_test_OOU469_1745
41,482844,483941,4_test_OOU473_1746
42,482845,483942,5_test_VOA100_1750
43,482828,483943,6_test_OOU502_1748
44,482829,482783,7_test_OOU504_1749
45,482830,482784,8_test_VOA182_1757
46,482831,482785,9_test_OOU463_1751
47,482832,482786,10_test_VOA120_1747
48,482833,482787,11_test_OOU466_1753
49,482834,482788,12_test_OOU484_1754
50,482835,491592,13_test_OOU485_1755
51,483113,491593,14_test_VOA151_LGSC
52,482837,491594,15_test_VOA138_1752
53,482838,491653,16_test_OOU489_1801
54,482840,491654,17_test_VOA734B
55,482841,491655,18_test_OOU491_1826
56,483122,491656,19_test_OOU492_1818
57,483361,491657,20_test_VOA191_1830
58,483364,487395,21_test_OOU498_1819
59,491250,487396,22_test_OOU505_1820
60,491251,487398,23_test_VOA221_LGSC
