,train,val,test
0,482610,482609,4
1,482611,482772,66
2,482804,482773,91
3,482805,482774,281
4,482806,482811,286
5,482815,482812,431
6,482816,482813,706
7,482818,482814,970
8,483123,482782,1020
9,482807,482861,1080
10,482808,482620,1101
11,482809,482621,1252
12,482810,482622,1289
13,482819,482623,1295
14,482820,482642,1660
15,482821,482643,1666
16,482604,482644,1774
17,482605,482645,1925
18,482607,482646,1943
19,483820,482647,1952
20,482674,482648,2097
21,482675,482649,2227
22,482676,482659,2391
23,482677,482660,2666
24,482678,482745,2706
25,483406,482746,2906
26,482638,483720,3055
27,482639,483721,3084
28,482641,483722,3092
29,483810,488082,3098
30,482767,487882,3191
31,482768,487880,3222
32,482769,487879,3264
33,482770,487878,3511
34,482771,487877,3672
35,482857,487876,3881
36,482858,487856,3997
37,482859,487857,4134
38,482860,487858,4211
39,482842,487859,4608
40,482843,483940,4797
41,482844,483941,4827
42,482845,483942,4877
43,482828,483943,4963
44,482829,482783,5015
45,482830,482784,5114
46,482831,482785,5251
47,482832,482786,5264
48,482833,482787,5265
49,482834,482788,5307
50,482835,491592,5456
51,483113,491593,5851
52,482837,491594,5852
53,482838,491653,5970
54,482840,491654,5992
55,482841,491655,6140
56,483122,491656,6175
57,483361,491657,6281
58,483364,487395,6359
59,491250,487396,6363
60,491251,487398,6449
61,491252,488298,6558
62,491253,480312,6582
63,491254,480316,6793
64,482624,480320,6843
65,482625,480323,6898
66,482626,480324,6951
67,482627,480325,7204
68,482628,487426,7329
69,483813,487427,7482
70,487815,491457,7490
71,487818,491458,7955
72,487820,491459,8130
73,487822,491754,8213
74,487909,491440,8240
75,487908,491441,8279
76,487907,491442,8280
77,483672,491443,8531
78,483673,491939,8713
79,483674,480329,8805
80,483675,480330,8985
81,483676,480331,9154
82,483677,491939,9183
83,483678,482943,9200
84,483679,482944,9254
85,483660,482945,9341
86,483661,482946,9509
87,483662,480279,9658
88,483663,480284,9697
89,483666,480288,10077
90,484189,480294,10143
91,482756,480298,10246
92,482757,480303,10252
93,482758,480307,10469
94,482759,482966,10548
95,482760,482967,10642
96,482761,483751,10800
97,482762,483752,10896
98,482763,483753,11263
99,482764,483754,11417
100,484902,483755,11431
101,484907,483756,11557
102,483963,491902,11559
103,483966,491903,12159
104,484153,491904,12222
105,484154,491905,12244
106,484155,491906,12442
107,484156,492256,12522
108,484157,491472,12902
109,484158,491473,13364
110,484159,491474,13387
111,484160,491475,13526
112,483710,491476,13568
113,483711,491477,13987
114,483713,491478,14039
115,483714,491479,14051
116,483715,491480,14127
117,483716,482920,14312
118,483717,482921,14401
119,483718,491935,14424
120,483719,483606,14532
121,484199,483607,14542
122,487919,483608,14617
123,487920,483878,15139
124,487921,483933,15188
125,487922,484328,15209
126,487923,496289,15221
127,487848,496290,15231
128,487849,496292,15293
129,483723,496296,15470
130,483724,496298,15486
131,483725,496268,15583
132,487928,496269,15671
133,487840,496270,15742
134,487841,496271,15871
135,484072,496272,15912
136,484077,496203,16042
137,484083,496204,16064
138,484087,496205,16209
139,484092,496206,16325
140,484097,494800,16494
141,482704,494801,16876
142,482705,494802,16986
143,482695,494803,17067
144,482696,494804,17174
145,482697,494805,17291
146,483680,494806,17365
147,483681,494807,17416
148,484240,535179,17487
149,484241,535181,17637
150,484242,535183,17738
151,484243,535186,17854
152,484244,535188,18014
153,484733,535189,18138
154,487910,535192,18196
155,487911,535194,18547
156,487912,535196,18568
157,487913,535199,18607
158,487915,540467,18810
159,487916,540463,18813
160,487917,540464,18896
161,483969,540465,18914
162,483970,540466,18981
163,483971,539606,19030
164,483976,539607,19157
165,483986,539609,19255
166,483991,539610,19512
167,483998,539611,19569
168,484908,539795,20205
169,484910,538847,20312
170,484911,538848,20316
171,483926,538849,20329
172,483928,538850,20463
173,482791,538851,20670
174,482792,538852,20858
175,482793,538788,20882
176,482794,538793,21020
177,483922,538798,21232
178,483924,538802,21260
179,483925,538808,21303
180,483938,538818,21373
181,483939,538819,21432
182,482597,538820,21445
183,482598,537492,21910
184,482599,537493,21929
185,482600,537494,22155
186,482775,537495,22221
187,482776,537496,22290
188,482777,537497,22425
189,482778,537498,22489
190,482779,537499,22654
191,482780,537500,22740
192,482781,537501,22924
193,483944,537502,23523
194,483945,537484,23629
195,483946,537485,23796
196,483947,537486,24023
197,491521,537487,24507
198,491522,537125,24563
199,491530,537126,24617
200,491519,537127,24759
201,491520,537128,24991
202,491503,537129,25256
203,491504,537130,25331
204,491505,537131,25561
205,487437,,25604
206,487438,,25792
207,487439,,25923
208,487440,,25928
209,487732,,26025
210,487733,,26124
211,487734,,26190
212,487735,,26219
213,487736,,26533
214,491367,,26603
215,491372,,26644
216,491373,,26862
217,491448,,26939
218,491449,,26950
219,491450,,27245
220,491451,,27249
221,487079,,27315
222,487088,,27739
223,487106,,27747
224,487385,,27851
225,487742,,27950
226,487743,,28028
227,487744,,28066
228,487745,,28121
229,487746,,28393
230,487747,,28519
231,487748,,28562
232,480332,,28603
233,480333,,28736
234,480334,,28821
235,480335,,28922
236,480336,,29084
