,train,val,test
0,482610,482609.0,482804.0
1,482611,484222.0,482805.0
2,482815,484223.0,482806.0
3,482816,484224.0,482772.0
4,482818,484225.0,482773.0
5,483123,484254.0,482774.0
6,482807,484611.0,482811.0
7,482808,482842.0,482812.0
8,482809,482843.0,482813.0
9,482810,482844.0,482814.0
10,482683,482845.0,484233.0
11,482685,483488.0,491675.0
12,482686,483489.0,482612.0
13,483405,483490.0,482613.0
14,484232,483491.0,482614.0
15,484253,483492.0,482615.0
16,491220,487919.0,482620.0
17,482822,487920.0,482621.0
18,482823,487921.0,482622.0
19,482824,487922.0,482623.0
20,482825,487923.0,482642.0
21,482826,487848.0,482643.0
22,482827,487849.0,482644.0
23,482819,487928.0,482645.0
24,482820,483680.0,482646.0
25,482821,483681.0,482647.0
26,482604,484240.0,482648.0
27,482605,484241.0,482649.0
28,482607,484242.0,487815.0
29,483820,484243.0,487818.0
30,482674,484244.0,487820.0
31,482675,484733.0,487822.0
32,482676,483926.0,487909.0
33,482677,483928.0,487908.0
34,482678,482791.0,487907.0
35,483406,482792.0,487810.0
36,482663,482793.0,487813.0
37,482664,482794.0,487814.0
38,482665,483932.0,483726.0
39,482666,483934.0,483727.0
40,483800,483935.0,483728.0
41,482638,482850.0,483729.0
42,482639,482851.0,483731.0
43,482641,482852.0,484203.0
44,483810,491943.0,483493.0
45,482635,487760.0,483494.0
46,482636,486920.0,482756.0
47,482637,486919.0,482757.0
48,482672,486921.0,482758.0
49,482673,486922.0,482759.0
50,483399,487821.0,482760.0
51,482767,487404.0,482761.0
52,482768,487405.0,482762.0
53,482769,487406.0,482763.0
54,482770,487409.0,482764.0
55,482771,487411.0,484902.0
56,482857,487446.0,484907.0
57,482858,487448.0,483963.0
58,482859,487449.0,483966.0
59,482860,480312.0,482592.0
60,482854,480316.0,482593.0
61,482855,480320.0,482594.0
62,483114,480323.0,483723.0
63,483115,480324.0,483724.0
64,482782,480325.0,483725.0
65,482861,487426.0,487853.0
66,482680,487427.0,487854.0
67,482681,487006.0,487855.0
68,482682,487007.0,483708.0
69,482828,487010.0,482704.0
70,482829,487011.0,482705.0
71,482830,487012.0,487910.0
72,482831,487479.0,487911.0
73,482832,487484.0,487912.0
74,482833,480357.0,487913.0
75,482834,480358.0,487915.0
76,482835,480359.0,487916.0
77,483113,480360.0,487917.0
78,482837,480361.0,482601.0
79,482838,480363.0,482602.0
80,482840,480364.0,491503.0
81,482841,481143.0,491504.0
82,483122,480409.0,491505.0
83,483361,480410.0,483779.0
84,483364,480412.0,483923.0
85,491250,480413.0,487521.0
86,491251,481149.0,487526.0
87,491252,486997.0,487784.0
88,491253,486998.0,487785.0
89,491254,487000.0,487786.0
90,482624,487001.0,487787.0
91,482625,487002.0,487146.0
92,482626,487003.0,487154.0
93,482627,487005.0,487168.0
94,482628,487487.0,487177.0
95,483813,486983.0,487183.0
96,482659,486985.0,487189.0
97,482660,487497.0,487204.0
98,487979,487515.0,487383.0
99,487980,486975.0,487384.0
100,487981,486976.0,487210.0
101,487982,486977.0,487217.0
102,487983,486978.0,487226.0
103,487984,486979.0,487233.0
104,487985,487788.0,487242.0
105,483672,487789.0,487249.0
106,483673,487790.0,487252.0
107,483674,487754.0,487253.0
108,483675,487755.0,487394.0
109,483676,487756.0,491367.0
110,483677,487757.0,491372.0
111,483678,480221.0,491373.0
112,483679,480226.0,487395.0
113,487937,482959.0,487396.0
114,487950,482960.0,487398.0
115,487951,482961.0,488298.0
116,483660,482962.0,484165.0
117,483661,482963.0,484166.0
118,483662,482964.0,484167.0
119,483663,486969.0,484169.0
120,483666,486970.0,480368.0
121,484189,486971.0,480369.0
122,484153,486972.0,480370.0
123,484154,486973.0,480374.0
124,484155,486974.0,480379.0
125,484156,484282.0,480386.0
126,484157,484283.0,480398.0
127,484158,484284.0,491452.0
128,484159,480462.0,491255.0
129,484160,481516.0,491256.0
130,483710,482913.0,487737.0
131,483711,482914.0,487738.0
132,483713,482915.0,487739.0
133,483714,482916.0,487740.0
134,483715,483379.0,491891.0
135,483716,483798.0,491881.0
136,483717,483789.0,491882.0
137,483718,483790.0,483769.0
138,483719,483556.0,483771.0
139,484199,483557.0,483772.0
140,487970,483558.0,483920.0
141,487971,484175.0,487775.0
142,482687,553088.0,487776.0
143,482688,553089.0,487791.0
144,487895,491933.0,487792.0
145,487894,491934.0,483784.0
146,487893,484302.0,483785.0
147,487892,553086.0,483786.0
148,487891,553087.0,483927.0
149,487890,484291.0,483751.0
150,487889,484292.0,483752.0
151,487888,484853.0,483753.0
152,482745,484306.0,483754.0
153,482746,484307.0,483755.0
154,483720,484865.0,483756.0
155,483721,483654.0,491849.0
156,483722,483655.0,491859.0
157,482723,484227.0,491863.0
158,482724,484228.0,491867.0
159,482725,484229.0,491871.0
160,482726,484230.0,491877.0
161,482727,484231.0,482899.0
162,482728,484328.0,482900.0
163,482729,549680.0,483373.0
164,482730,549681.0,482925.0
165,482737,549682.0,482926.0
166,482738,549684.0,482927.0
167,491666,549685.0,484286.0
168,491667,549686.0,484287.0
169,491668,553060.0,481507.0
170,491669,553061.0,481513.0
171,491670,559105.0,480429.0
172,491671,550264.0,480430.0
173,491672,550266.0,480431.0
174,491673,550268.0,480432.0
175,491674,550270.0,483849.0
176,487840,550272.0,483833.0
177,487841,550416.0,483835.0
178,491938,558925.0,483838.0
179,484072,558924.0,483819.0
180,484077,550450.0,483823.0
181,484083,550454.0,483605.0
182,484087,550458.0,483812.0
183,484092,557668.0,483814.0
184,484097,550599.0,483817.0
185,482750,550601.0,483601.0
186,482751,550603.0,483885.0
187,488082,530717.0,483523.0
188,487882,530718.0,483629.0
189,487880,556667.0,483630.0
190,487879,556662.0,483631.0
191,487878,556658.0,483632.0
192,487877,556651.0,483559.0
193,487876,556858.0,483560.0
194,487831,556854.0,483561.0
195,487836,556849.0,491489.0
196,487837,503186.0,491490.0
197,487838,503188.0,491492.0
198,488076,503191.0,491494.0
199,484248,503193.0,491496.0
200,484249,503195.0,484188.0
201,483777,496223.0,484591.0
202,484255,496224.0,491931.0
203,484256,496225.0,491932.0
204,484257,496226.0,491803.0
205,484258,503230.0,491806.0
206,482695,503232.0,483497.0
207,482696,503235.0,483501.0
208,482697,519325.0,483499.0
209,483682,519326.0,483568.0
210,483683,519327.0,484168.0
211,483684,519328.0,484219.0
212,487856,519329.0,487414.0
213,487857,519330.0,553058.0
214,487858,519331.0,553059.0
215,487859,533242.0,549953.0
216,491658,533243.0,550351.0
217,491659,533244.0,550353.0
218,482717,533245.0,550355.0
219,482718,533246.0,550357.0
220,482719,533247.0,550299.0
221,483688,533248.0,550301.0
222,483689,533249.0,550303.0
223,483948,530694.0,550398.0
224,483949,530695.0,559083.0
225,483950,530696.0,550379.0
226,483951,530697.0,550381.0
227,483952,507042.0,550383.0
228,483953,530721.0,550288.0
229,483940,530722.0,550289.0
230,483941,530723.0,550295.0
231,483942,530724.0,516419.0
232,483943,530725.0,516420.0
233,483969,529869.0,516422.0
234,483970,529871.0,516424.0
235,483971,529873.0,556710.0
236,483976,529875.0,556709.0
237,483986,529877.0,556708.0
238,483991,529879.0,556707.0
239,483998,522569.0,556706.0
240,484908,518165.0,556705.0
241,484910,518166.0,556704.0
242,484911,518167.0,556703.0
243,482783,533250.0,556702.0
244,482784,533251.0,556701.0
245,482785,533252.0,556699.0
246,482786,533253.0,556697.0
247,482787,533254.0,556695.0
248,482788,533255.0,556693.0
249,491592,533256.0,556690.0
250,491593,556741.0,556687.0
251,491594,556740.0,530666.0
252,483922,556739.0,530667.0
253,483924,556738.0,530668.0
254,483925,556737.0,530669.0
255,483938,556736.0,530670.0
256,483939,556735.0,530672.0
257,482597,556734.0,530673.0
258,482598,533257.0,530674.0
259,482599,533258.0,556226.0
260,482600,533259.0,556227.0
261,482775,533260.0,556228.0
262,482776,533261.0,556229.0
263,482777,533262.0,556230.0
264,482778,533263.0,556231.0
265,482779,533264.0,556232.0
266,482780,553719.0,556225.0
267,482781,553713.0,555814.0
268,483944,553708.0,555822.0
269,483945,553704.0,514787.0
270,483946,553677.0,514789.0
271,483947,553673.0,514791.0
272,491521,553667.0,514793.0
273,491522,553662.0,507027.0
274,491530,553657.0,495325.0
275,491519,553653.0,495332.0
276,491520,553647.0,507181.0
277,491506,553993.0,535079.0
278,491507,553626.0,535080.0
279,491508,553840.0,535084.0
280,491509,553642.0,535087.0
281,491510,535130.0,535090.0
282,491511,535132.0,535093.0
283,491512,535134.0,535096.0
284,491513,535136.0,535099.0
285,491514,535138.0,535101.0
286,491515,535153.0,535103.0
287,491516,535157.0,535106.0
288,491517,535160.0,535108.0
289,491518,535162.0,535179.0
290,491653,535164.0,535181.0
291,491654,535166.0,535183.0
292,491655,535168.0,535186.0
293,491656,535170.0,535188.0
294,491657,535172.0,535189.0
295,491941,535173.0,535192.0
296,491228,535175.0,535194.0
297,491229,535177.0,535196.0
298,491230,539626.0,535199.0
299,491231,539627.0,540456.0
300,480274,539628.0,540458.0
301,480326,539606.0,540459.0
302,484277,539607.0,543983.0
303,484278,539609.0,539670.0
