,train,val,test
482610,True,False,False
482611,True,False,False
482804,True,False,False
482805,True,False,False
482806,True,False,False
482815,True,False,False
482816,True,False,False
482818,True,False,False
483123,True,False,False
482807,True,False,False
482808,True,False,False
482809,True,False,False
482810,True,False,False
482683,True,False,False
482685,True,False,False
482686,True,False,False
483405,True,False,False
484232,True,False,False
484253,True,False,False
491220,True,False,False
482822,True,False,False
482823,True,False,False
482824,True,False,False
482825,True,False,False
482826,True,False,False
482827,True,False,False
482772,True,False,False
482773,True,False,False
482774,True,False,False
482811,True,False,False
482812,True,False,False
482813,True,False,False
482814,True,False,False
482819,True,False,False
482820,True,False,False
482821,True,False,False
482604,True,False,False
482605,True,False,False
482607,True,False,False
483820,True,False,False
484233,True,False,False
491675,True,False,False
482674,True,False,False
482675,True,False,False
482676,True,False,False
482677,True,False,False
482678,True,False,False
483406,True,False,False
482638,True,False,False
482639,True,False,False
482641,True,False,False
483810,True,False,False
482635,True,False,False
482636,True,False,False
482637,True,False,False
482672,True,False,False
482673,True,False,False
483399,True,False,False
482767,True,False,False
482768,True,False,False
482769,True,False,False
482770,True,False,False
482771,True,False,False
482854,True,False,False
482855,True,False,False
483114,True,False,False
483115,True,False,False
482680,True,False,False
482681,True,False,False
482682,True,False,False
482612,True,False,False
482613,True,False,False
482614,True,False,False
482615,True,False,False
482828,True,False,False
482829,True,False,False
482830,True,False,False
482831,True,False,False
482832,True,False,False
482833,True,False,False
482834,True,False,False
482835,True,False,False
483113,True,False,False
482837,True,False,False
482838,True,False,False
482840,True,False,False
482841,True,False,False
483122,True,False,False
483361,True,False,False
483364,True,False,False
491250,True,False,False
491251,True,False,False
491252,True,False,False
491253,True,False,False
491254,True,False,False
482620,True,False,False
482621,True,False,False
482622,True,False,False
482623,True,False,False
482624,True,False,False
482625,True,False,False
482626,True,False,False
482627,True,False,False
482628,True,False,False
483813,True,False,False
482642,True,False,False
482643,True,False,False
482644,True,False,False
482645,True,False,False
482646,True,False,False
482647,True,False,False
482648,True,False,False
482649,True,False,False
482659,True,False,False
482660,True,False,False
487815,True,False,False
487818,True,False,False
487820,True,False,False
487822,True,False,False
487909,True,False,False
487908,True,False,False
487907,True,False,False
487810,True,False,False
487813,True,False,False
487814,True,False,False
487979,True,False,False
487980,True,False,False
487981,True,False,False
487982,True,False,False
487983,True,False,False
487984,True,False,False
487985,True,False,False
483726,True,False,False
483727,True,False,False
483728,True,False,False
483729,True,False,False
483731,True,False,False
484203,True,False,False
483493,True,False,False
483494,True,False,False
487937,True,False,False
487950,True,False,False
487951,True,False,False
483660,True,False,False
483661,True,False,False
483662,True,False,False
483663,True,False,False
483666,True,False,False
484189,True,False,False
482756,True,False,False
482757,True,False,False
482758,True,False,False
482759,True,False,False
482760,True,False,False
482761,True,False,False
482762,True,False,False
482763,True,False,False
482764,True,False,False
484902,True,False,False
484907,True,False,False
483963,True,False,False
483966,True,False,False
483710,True,False,False
483711,True,False,False
483713,True,False,False
483714,True,False,False
483715,True,False,False
483716,True,False,False
483717,True,False,False
483718,True,False,False
483719,True,False,False
484199,True,False,False
487895,True,False,False
487894,True,False,False
487893,True,False,False
487892,True,False,False
487891,True,False,False
487890,True,False,False
487889,True,False,False
487888,True,False,False
482745,True,False,False
482746,True,False,False
482592,True,False,False
482593,True,False,False
482594,True,False,False
483723,True,False,False
483724,True,False,False
483725,True,False,False
482723,True,False,False
482724,True,False,False
482725,True,False,False
482726,True,False,False
482727,True,False,False
482728,True,False,False
482729,True,False,False
482730,True,False,False
482737,True,False,False
482738,True,False,False
491666,True,False,False
491667,True,False,False
491668,True,False,False
