,train,val,test
0,482610,482842.0,482683.0
1,482611,482843.0,482685.0
2,482804,482844.0,482686.0
3,482805,482845.0,483405.0
4,482806,483361.0,482604.0
5,482815,483364.0,482605.0
6,482816,491250.0,482607.0
7,482818,491251.0,483820.0
8,483123,491252.0,484222.0
9,482609,491253.0,484223.0
10,482807,491254.0,484224.0
11,482808,483672.0,484225.0
12,482809,483673.0,484254.0
13,482810,483674.0,484611.0
14,484232,483675.0,482674.0
15,484253,483676.0,482675.0
16,491220,483677.0,482676.0
17,482822,483678.0,482677.0
18,482823,483679.0,482678.0
19,482824,483710.0,483406.0
20,482825,483711.0,482612.0
21,482826,483713.0,482613.0
22,482827,483714.0,482614.0
23,482772,483715.0,482615.0
24,482773,483716.0,482837.0
25,482774,483717.0,482838.0
26,482811,483718.0,482840.0
27,482812,483719.0,482841.0
28,482813,484199.0,483122.0
29,482814,483720.0,483660.0
30,482819,483721.0,483661.0
31,482820,483722.0,483662.0
32,482821,491938.0,483663.0
33,484233,487831.0,483666.0
34,491675,487836.0,484189.0
35,482663,487837.0,482745.0
36,482664,487838.0,482746.0
37,482665,488076.0,484240.0
38,482666,483932.0,484241.0
39,483800,483934.0,484242.0
40,482638,483935.0,484243.0
41,482639,480274.0,484244.0
42,482641,480326.0,484733.0
43,483810,487784.0,491592.0
44,482635,487785.0,491593.0
45,482636,487786.0,491594.0
46,482637,487787.0,482850.0
47,482672,492233.0,482851.0
48,482673,482951.0,482852.0
49,483399,482952.0,484277.0
50,482767,482953.0,484278.0
51,482768,482954.0,484735.0
52,482769,482955.0,487146.0
53,482770,482957.0,487154.0
54,482771,482958.0,487168.0
55,482857,483111.0,487177.0
56,482858,487409.0,487183.0
57,482859,487411.0,487189.0
58,482860,491367.0,487204.0
59,482854,491372.0,487383.0
60,482855,491373.0,487384.0
61,483114,487452.0,491891.0
62,483115,487455.0,484266.0
63,482782,487460.0,482899.0
64,482861,487462.0,482900.0
65,482680,491452.0,483373.0
66,482681,483751.0,484282.0
67,482682,483752.0,484283.0
68,482828,483753.0,484284.0
69,482829,483754.0,482930.0
70,482830,483755.0,482931.0
71,482831,483756.0,482932.0
72,482832,483609.0,482934.0
73,482833,483610.0,549679.0
74,482834,483812.0,553058.0
75,482835,483814.0,553059.0
76,483113,483817.0,549953.0
77,482620,483601.0,550389.0
78,482621,483885.0,550299.0
79,482622,483509.0,550301.0
80,482623,483510.0,550303.0
81,482624,483511.0,550359.0
82,482625,483533.0,550365.0
83,482626,483534.0,550367.0
84,482627,483535.0,550369.0
85,482628,483536.0,550371.0
86,483813,491489.0,550373.0
87,482642,491490.0,550375.0
88,482643,491492.0,550377.0
89,482644,491494.0,549752.0
90,482645,491496.0,551916.0
91,482646,484207.0,550237.0
92,482647,483650.0,550238.0
93,482648,483651.0,496268.0
94,482649,483652.0,496269.0
95,482659,483653.0,496270.0
96,482660,484219.0,496271.0
97,487815,549753.0,496272.0
98,487818,549754.0,557618.0
99,487820,549755.0,557626.0
100,487822,549756.0,557619.0
101,487909,550416.0,557617.0
102,487908,558925.0,496203.0
103,487907,558924.0,496204.0
104,487810,483625.0,496205.0
105,487813,483626.0,496206.0
106,487814,483627.0,533242.0
107,487979,483628.0,533243.0
108,487980,494830.0,533244.0
109,487981,494831.0,533245.0
110,487982,495311.0,533246.0
111,487983,516419.0,533247.0
112,487984,516420.0,533248.0
113,487985,516422.0,533249.0
114,483726,516424.0,529817.0
115,483727,514839.0,529818.0
116,483728,514842.0,529822.0
117,483729,514844.0,529824.0
118,483731,556674.0,529826.0
119,484203,556673.0,529827.0
120,483488,556672.0,529829.0
121,483489,530721.0,556226.0
122,483490,530722.0,556227.0
123,483491,530723.0,556228.0
124,483492,530724.0,556229.0
125,483493,530725.0,556230.0
126,483494,533250.0,556231.0
127,487937,533251.0,556232.0
128,487950,533252.0,556225.0
129,487951,533253.0,555814.0
130,482756,533254.0,555822.0
131,482757,533255.0,535233.0
132,482758,533256.0,535235.0
133,482759,530712.0,535238.0
134,482760,530714.0,556733.0
135,482761,530715.0,556732.0
136,482762,539631.0,556731.0
137,482763,537484.0,556730.0
138,482764,537485.0,556729.0
139,484902,537486.0,556728.0
140,484907,537487.0,556727.0
141,483963,540468.0,556726.0
142,483966,507592.0,556725.0
143,484153,507594.0,556724.0
144,484154,507596.0,556723.0
145,484155,507575.0,556722.0
146,484156,507578.0,556721.0
147,484157,507580.0,556720.0
148,484158,484149.0,556719.0
149,484159,484150.0,556718.0
150,484160,484151.0,556717.0
151,487970,494924.0,556741.0
152,487971,494928.0,556740.0
153,482687,494920.0,556739.0
154,482688,537121.0,556738.0
155,487895,537122.0,556737.0
156,487894,537123.0,556736.0
157,487893,483906.0,556735.0
158,487892,483907.0,556734.0
159,487891,483908.0,544109.0
160,487890,483909.0,544110.0
161,487889,483913.0,544111.0
162,487888,485018.0,535153.0
163,487919,546157.0,535157.0
164,487920,,535160.0
165,487921,,535162.0
166,487922,,535164.0
167,487923,,535166.0
168,482592,,535168.0
169,482593,,535170.0
170,482594,,535172.0
171,487848,,535173.0
172,487849,,535175.0
173,483723,,535177.0
174,483724,,540467.0
175,483725,,540463.0
176,482723,,540464.0
177,482724,,540465.0
178,482725,,540466.0
179,482726,,507611.0
180,482727,,508033.0
181,482728,,494845.0
182,482729,,494835.0
183,482730,,494836.0
184,482737,,537125.0
185,482738,,537126.0
186,487928,,537127.0
187,491666,,537128.0
188,491667,,537129.0
189,491668,,537130.0
190,491669,,537131.0
191,491670,,553521.0
