,train,val,test
482815,True,False,False
482816,True,False,False
482818,True,False,False
483123,True,False,False
482772,True,False,False
482773,True,False,False
482774,True,False,False
482819,True,False,False
482820,True,False,False
482821,True,False,False
484233,True,False,False
491675,True,False,False
482854,True,False,False
482855,True,False,False
483114,True,False,False
483115,True,False,False
482828,True,False,False
482829,True,False,False
482830,True,False,False
482831,True,False,False
482832,True,False,False
482837,True,False,False
482838,True,False,False
482840,True,False,False
482841,True,False,False
483122,True,False,False
482642,True,False,False
482643,True,False,False
482644,True,False,False
482645,True,False,False
482646,True,False,False
482647,True,False,False
482648,True,False,False
482649,True,False,False
482659,True,False,False
482660,True,False,False
487815,True,False,False
487818,True,False,False
487820,True,False,False
487822,True,False,False
487909,True,False,False
487908,True,False,False
487907,True,False,False
482756,True,False,False
482757,True,False,False
482758,True,False,False
482759,True,False,False
482760,True,False,False
482761,True,False,False
482762,True,False,False
482763,True,False,False
482764,True,False,False
484902,True,False,False
484907,True,False,False
483963,True,False,False
483966,True,False,False
482592,True,False,False
482593,True,False,False
482594,True,False,False
484072,True,False,False
484077,True,False,False
484083,True,False,False
484087,True,False,False
484092,True,False,False
484097,True,False,False
482704,True,False,False
482705,True,False,False
483777,True,False,False
484255,True,False,False
484256,True,False,False
484257,True,False,False
484258,True,False,False
483682,True,False,False
483683,True,False,False
483684,True,False,False
483680,True,False,False
483681,True,False,False
487910,True,False,False
487911,True,False,False
487912,True,False,False
487913,True,False,False
487915,True,False,False
487916,True,False,False
487917,True,False,False
482783,True,False,False
482784,True,False,False
482785,True,False,False
482786,True,False,False
482787,True,False,False
482788,True,False,False
491592,True,False,False
491593,True,False,False
491594,True,False,False
482791,True,False,False
482792,True,False,False
482793,True,False,False
482794,True,False,False
482597,True,False,False
482598,True,False,False
482599,True,False,False
482600,True,False,False
491513,True,False,False
491514,True,False,False
491515,True,False,False
491516,True,False,False
491517,True,False,False
491518,True,False,False
491653,True,False,False
491654,True,False,False
491655,True,False,False
491656,True,False,False
491657,True,False,False
483779,True,False,False
483923,True,False,False
487521,True,False,False
487526,True,False,False
487784,True,False,False
487785,True,False,False
487786,True,False,False
487787,True,False,False
486948,True,False,False
486949,True,False,False
486950,True,False,False
486951,True,False,False
486952,True,False,False
486953,True,False,False
486954,True,False,False
486955,True,False,False
487811,True,False,False
482948,True,False,False
482949,True,False,False
482950,True,False,False
487416,True,False,False
487418,True,False,False
487419,True,False,False
488304,True,False,False
487433,True,False,False
487434,True,False,False
487435,True,False,False
487436,True,False,False
487732,True,False,False
487733,True,False,False
487734,True,False,False
487735,True,False,False
487736,True,False,False
491810,True,False,False
491814,True,False,False
491816,True,False,False
487429,True,False,False
487430,True,False,False
487431,True,False,False
487432,True,False,False
484165,True,False,False
484166,True,False,False
484167,True,False,False
484169,True,False,False
487446,True,False,False
487448,True,False,False
487449,True,False,False
487112,True,False,False
